Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,3000
2015-12-01,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,4000
2015-12-02,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,2000
2015-12-03,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,3000
2015-12-04,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,5000
2015-12-07,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,3000
2015-12-08,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,2000
2015-12-09,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,0
2015-12-10,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,3000
2015-12-11,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,3000
2015-12-14,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,4000
2015-12-15,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,2000
2015-12-16,8300.000000,8300.000000,8300.000000,8300.000000,8300.000000,2000
2015-12-17,8350.000000,8350.000000,8350.000000,8350.000000,8350.000000,2500
2015-12-18,8350.000000,8350.000000,8350.000000,8350.000000,8350.000000,2000
2015-12-21,8350.000000,8350.000000,8350.000000,8350.000000,8350.000000,3000
2015-12-22,7875.000000,7875.000000,7875.000000,7875.000000,7875.000000,2000
2015-12-23,7875.000000,7875.000000,7875.000000,7875.000000,7875.000000,2000
2015-12-28,7875.000000,7875.000000,7875.000000,7875.000000,7875.000000,2000
2015-12-29,7950.000000,7950.000000,7950.000000,7950.000000,7950.000000,2500
2015-12-30,7875.000000,7875.000000,7875.000000,7875.000000,7875.000000,2500
2016-01-04,7875.000000,7875.000000,7875.000000,7875.000000,7875.000000,3000
2016-01-05,7875.000000,8000.000000,7875.000000,8000.000000,8000.000000,2500
2016-01-06,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,3000
2016-01-07,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,2500
2016-01-08,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,2000
2016-01-11,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-01-12,8050.000000,8050.000000,8050.000000,8050.000000,8050.000000,3000
2016-01-13,8050.000000,8050.000000,8050.000000,8050.000000,8050.000000,2000
2016-01-14,8050.000000,8050.000000,8050.000000,8050.000000,8050.000000,3000
2016-01-15,8100.000000,8100.000000,8100.000000,8100.000000,8100.000000,2000
2016-01-18,7900.000000,7900.000000,7900.000000,7900.000000,7900.000000,3000
2016-01-19,8000.000000,8000.000000,8000.000000,8000.000000,8000.000000,2000
2016-01-20,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-01-21,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,2500
2016-01-22,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-01-25,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-01-26,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,2000
2016-01-27,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-01-28,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,4000
2016-01-29,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-02-01,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-02-02,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,400
2016-02-03,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-02-04,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-02-05,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,2000
2016-02-09,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,0
2016-02-10,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-02-11,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
2016-02-12,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,3000
