Date,Open,High,Low,Close,Adj Close,Volume
2015-11-30,16550.000000,16900.000000,16050.000000,16300.000000,15918.424805,6986000
2015-12-01,16600.000000,16700.000000,16025.000000,16300.000000,15918.424805,5789600
2015-12-02,16300.000000,16650.000000,16225.000000,16550.000000,16162.573242,3949900
2015-12-03,16350.000000,16400.000000,16100.000000,16100.000000,15723.107422,2688400
2015-12-04,15800.000000,16150.000000,15625.000000,15675.000000,15308.055664,5321200
2015-12-07,15875.000000,15900.000000,15625.000000,15800.000000,15430.128906,3332900
2015-12-08,15625.000000,15700.000000,15200.000000,15200.000000,14844.175781,4357600
2015-12-09,15200.000000,15200.000000,15200.000000,15200.000000,14844.175781,0
2015-12-10,15000.000000,15000.000000,14625.000000,14650.000000,14307.050781,4828300
2015-12-11,14550.000000,14850.000000,14325.000000,14375.000000,14038.488281,4696800
2015-12-14,14100.000000,14300.000000,13925.000000,14000.000000,13672.267578,3527900
2015-12-15,14100.000000,15450.000000,14100.000000,15450.000000,15088.323242,5442200
2015-12-16,15450.000000,15800.000000,15100.000000,15800.000000,15430.128906,4967800
2015-12-17,15800.000000,15975.000000,15550.000000,15825.000000,15454.543945,3886600
2015-12-18,15575.000000,15600.000000,15025.000000,15350.000000,14990.663086,3614600
2015-12-21,15300.000000,15675.000000,15200.000000,15550.000000,15185.982422,1195600
2015-12-22,15650.000000,15750.000000,15350.000000,15475.000000,15112.737305,3101600
2015-12-23,15375.000000,15425.000000,15300.000000,15300.000000,14941.834961,1834100
2015-12-28,15300.000000,16150.000000,15300.000000,16100.000000,15723.107422,2304900
2015-12-29,16100.000000,16600.000000,16100.000000,16450.000000,16064.913086,2675400
2015-12-30,16450.000000,17025.000000,16300.000000,16950.000000,16553.207031,5516900
2016-01-04,16950.000000,16950.000000,16025.000000,16100.000000,15723.107422,3979900
2016-01-05,16200.000000,16500.000000,16200.000000,16350.000000,15967.253906,2661000
2016-01-06,16350.000000,16950.000000,16350.000000,16725.000000,16333.476563,4363100
2016-01-07,16400.000000,16450.000000,16050.000000,16225.000000,15845.180664,4401800
2016-01-08,16250.000000,16425.000000,16100.000000,16250.000000,15869.594727,4639500
2016-01-11,16000.000000,16000.000000,15725.000000,15875.000000,15503.374023,3981300
2016-01-12,16000.000000,16775.000000,16000.000000,16650.000000,16260.231445,3733500
2016-01-13,16775.000000,16850.000000,16550.000000,16650.000000,16260.231445,3197000
2016-01-14,16300.000000,16700.000000,16050.000000,16500.000000,16113.743164,3002600
2016-01-15,16350.000000,16475.000000,16200.000000,16275.000000,15894.009766,3821400
2016-01-18,null,null,null,null,null,null
2016-01-19,16000.000000,16100.000000,15800.000000,16075.000000,15698.692383,2482800
2016-01-20,16000.000000,16100.000000,15875.000000,16025.000000,15649.862305,4175400
2016-01-21,15925.000000,16125.000000,15625.000000,15825.000000,15454.543945,4104900
2016-01-22,null,null,null,null,null,null
2016-01-25,16650.000000,17050.000000,16525.000000,16925.000000,16528.794922,3907800
2016-01-26,null,null,null,null,null,null
2016-01-27,16750.000000,17225.000000,16725.000000,16800.000000,16406.720703,4139100
2016-01-28,16800.000000,17250.000000,16725.000000,16775.000000,16382.304688,3016500
2016-01-29,null,null,null,null,null,null
2016-02-01,17400.000000,17475.000000,17250.000000,17475.000000,17065.917969,2674200
2016-02-02,17200.000000,17475.000000,16600.000000,16600.000000,16211.402344,2819500
2016-02-03,16500.000000,16825.000000,16425.000000,16475.000000,16089.328125,1694200
2016-02-04,16600.000000,16900.000000,16575.000000,16600.000000,16211.402344,1983900
2016-02-05,16575.000000,17300.000000,16575.000000,17300.000000,16895.015625,2875900
2016-02-09,17300.000000,17300.000000,16800.000000,17000.000000,16602.037109,942100
2016-02-10,null,null,null,null,null,null
2016-02-11,16325.000000,16700.000000,16325.000000,16475.000000,16089.328125,2893500
2016-02-12,16400.000000,16450.000000,16000.000000,16000.000000,15625.448242,3731800
2016-02-15,16250.000000,16325.000000,16050.000000,16100.000000,15723.107422,1525200
2016-02-16,null,null,null,null,null,null
2016-02-17,15850.000000,16225.000000,15850.000000,15925.000000,15552.203125,4236900
2016-02-18,16025.000000,16350.000000,16025.000000,16125.000000,15747.521484,2913400
2016-02-19,16075.000000,16225.000000,15750.000000,15925.000000,15552.203125,3734600
2016-02-22,15850.000000,15925.000000,15725.000000,15725.000000,15356.885742,2271500
2016-02-23,15800.000000,15825.000000,15025.000000,15025.000000,14673.271484,5038700
2016-02-24,15000.000000,15025.000000,14475.000000,14750.000000,14404.709961,3481700
2016-02-25,15000.000000,15175.000000,14725.000000,15100.000000,14746.516602,2984400
2016-02-26,15000.000000,15350.000000,14525.000000,15225.000000,14868.590820,3588300
2016-02-29,15000.000000,15650.000000,14900.000000,15525.000000,15161.567383,8837400
2016-03-01,null,null,null,null,null,null
2016-03-02,15200.000000,15350.000000,15100.000000,15125.000000,14770.930664,6498500
2016-03-03,15275.000000,15475.000000,15200.000000,15350.000000,14990.663086,4565200
2016-03-04,15350.000000,15350.000000,14850.000000,14975.000000,14624.442383,6026400
2016-03-07,14975.000000,15075.000000,14825.000000,14875.000000,14526.784180,4890600
2016-03-08,null,null,null,null,null,null
2016-03-10,15350.000000,15650.000000,14950.000000,15475.000000,15112.737305,6852200
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,15250.000000,15300.000000,15050.000000,15100.000000,14746.516602,2915400
2016-03-16,null,null,null,null,null,null
2016-03-17,15400.000000,15450.000000,15300.000000,15450.000000,15088.323242,4338400
2016-03-18,15500.000000,15700.000000,15500.000000,15675.000000,15308.055664,7454000
